Year,MonthNumber,MonthName,MonthKey,Quarter,DateKey,AccountKey,SubName,AccountNumber,AccountName,State,RawProduct,ServiceGroup,ServiceGroupShort,FreightTypeDescription,ChargeCategory,IsAccessorial,NumberOfUnits,AccessorialSpend,GrossSpend,NetSpend,SourceFile
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,26728,0.0,2200255.51,846252.12,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,63640,85401.59,222044.13,85401.59,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,38,18438.98,47941.35,18438.98,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,458,9704.73,25232.3,9704.73,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,216,1843.9,4794.14,1843.9,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,133,1261.61,3280.19,1261.61,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,19,970.47,2523.22,970.47,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,572,2523.23,6560.4,2523.23,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,388,2037.99,5298.77,2037.99,SAMPLE_2025_02_Accessorial.xlsx
2025,2,Feb,202502,Q1,2025-02-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,50,2038.0,5298.8,2038.0,SAMPLE_2025_02_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,28593,0.0,2200079.65,846184.48,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,68080,85394.76,222026.38,85394.76,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,40,18437.51,47937.53,18437.51,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,490,9703.95,25230.27,9703.95,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,231,1843.75,4793.75,1843.75,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,142,1261.51,3279.93,1261.51,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,20,970.4,2523.04,970.4,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,612,2523.03,6559.88,2523.03,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,415,2037.83,5298.36,2037.83,SAMPLE_2025_03_Accessorial.xlsx
2025,3,Mar,202503,Q1,2025-03-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,54,2037.83,5298.36,2037.83,SAMPLE_2025_03_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,33877,0.0,3118383.42,1199378.24,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,80660,121038.17,314699.24,121038.17,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,48,26133.24,67946.42,26133.24,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,580,13754.34,35761.28,13754.34,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,274,2613.32,6794.63,2613.32,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,169,1788.06,4648.96,1788.06,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,24,1375.43,3576.12,1375.43,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,725,3576.13,9297.94,3576.13,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,492,2888.41,7509.87,2888.41,SAMPLE_2025_04_Accessorial.xlsx
2025,4,Apr,202504,Q2,2025-04-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,64,2888.42,7509.89,2888.42,SAMPLE_2025_04_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,31701,0.0,2634477.35,1013260.52,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,75480,102255.65,265864.69,102255.65,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,45,22077.92,57402.59,22077.92,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,543,11619.96,30211.9,11619.96,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,256,2207.79,5740.25,2207.79,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,158,1510.59,3927.53,1510.59,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,22,1162.0,3021.2,1162.0,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,679,3021.19,7855.09,3021.19,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,460,2440.19,6344.49,2440.19,SAMPLE_2025_05_Accessorial.xlsx
2025,5,May,202505,Q2,2025-05-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,60,2440.2,6344.52,2440.2,SAMPLE_2025_05_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,30147,0.0,2656136.03,1021590.78,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,71780,103096.32,268050.43,103096.32,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,43,22259.43,57874.52,22259.43,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,516,11715.49,30460.27,11715.49,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,244,2225.94,5787.44,2225.94,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,150,1523.01,3959.83,1523.01,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,21,1171.55,3046.03,1171.55,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,646,3046.03,7919.68,3046.03,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,437,2460.25,6396.65,2460.25,SAMPLE_2025_06_Accessorial.xlsx
2025,6,Jun,202506,Q2,2025-06-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,57,2460.26,6396.68,2460.26,SAMPLE_2025_06_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,29215,0.0,2443947.58,939979.84,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,69560,94860.35,246636.91,94860.35,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,41,20481.21,53251.15,20481.21,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,500,10779.59,28026.93,10779.59,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,236,2048.12,5325.11,2048.12,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,146,1401.35,3643.51,1401.35,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,20,1077.96,2802.7,1077.96,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,626,2802.69,7286.99,2802.69,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,424,2263.71,5885.65,2263.71,SAMPLE_2025_07_Accessorial.xlsx
2025,7,Jul,202507,Q3,2025-07-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,55,2263.71,5885.65,2263.71,SAMPLE_2025_07_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,31080,0.0,2584830.9,994165.73,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,74000,100328.65,260854.49,100328.65,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,44,21661.87,56320.86,21661.87,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,532,11400.98,29642.55,11400.98,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,251,2166.19,5632.09,2166.19,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,155,1482.13,3853.54,1482.13,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,22,1140.1,2964.26,1140.1,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,666,2964.26,7707.08,2964.26,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,451,2394.21,6224.95,2394.21,SAMPLE_2025_08_Accessorial.xlsx
2025,8,Aug,202508,Q3,2025-08-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,59,2394.19,6224.89,2394.19,SAMPLE_2025_08_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,32012,0.0,2734717.13,1051814.28,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,76220,106146.4,275980.64,106146.4,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,45,22917.97,59586.72,22917.97,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,548,12062.09,31361.43,12062.09,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,259,2291.8,5958.68,2291.8,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,160,1568.07,4076.98,1568.07,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,22,1206.21,3136.15,1206.21,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,685,3136.14,8153.96,3136.14,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,464,2533.04,6585.9,2533.04,SAMPLE_2025_09_Accessorial.xlsx
2025,9,Sep,202509,Q3,2025-09-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,60,2533.04,6585.9,2533.04,SAMPLE_2025_09_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,33566,0.0,2657493.9,1022113.04,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,79920,103149.02,268187.45,103149.02,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,47,22270.81,57904.11,22270.81,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,575,11721.48,30475.85,11721.48,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,271,2227.08,5790.41,2227.08,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,167,1523.79,3961.85,1523.79,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,23,1172.15,3047.59,1172.15,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,719,3047.58,7923.71,3047.58,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,487,2461.51,6399.93,2461.51,SAMPLE_2025_10_Accessorial.xlsx
2025,10,Oct,202510,Q4,2025-10-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,63,2461.52,6399.95,2461.52,SAMPLE_2025_10_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,35431,0.0,2536344.88,975517.26,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,84360,98446.7,255961.42,98446.7,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,50,21255.54,55264.4,21255.54,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,607,11187.12,29086.51,11187.12,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,286,2125.55,5526.43,2125.55,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,177,1454.33,3781.26,1454.33,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,25,1118.71,2908.65,1118.71,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,759,2908.65,7562.49,2908.65,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,514,2349.3,6108.18,2349.3,SAMPLE_2025_11_Accessorial.xlsx
2025,11,Nov,202511,Q4,2025-11-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,67,2349.29,6108.15,2349.29,SAMPLE_2025_11_Accessorial.xlsx
2025,12,Dec,202512,Q4,2025-12-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,27661,0.0,2235035.17,859628.91,SAMPLE_2025_12_Accessorial.xlsx
2025,12,Dec,202512,Q4,2025-12-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,65860,86751.54,225554.0,86751.54,SAMPLE_2025_12_Accessorial.xlsx
2025,12,Dec,202512,Q4,2025-12-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,39,18730.45,48699.17,18730.45,SAMPLE_2025_12_Accessorial.xlsx
